 &plot nbnd=  13, nks=   474 /
   -2.874   -2.696   -2.120
            0.000000  0.170202  0.000000
  -19.614  -18.270  -11.096   -9.145   -8.310   -7.653   -8.088   -6.968   -5.225   -2.736
   -2.878   -2.690   -2.101
            0.000000  0.173539  0.000000
  -19.603  -18.267  -11.083   -9.171   -8.332   -7.667   -8.079   -6.970   -5.241   -2.740
   -2.882   -2.685   -2.082
            0.000000  0.176876  0.000000
  -19.592  -18.264  -11.070   -9.196   -8.354   -7.681   -8.069   -6.973   -5.257   -2.744
   -2.885   -2.679   -2.063
            0.000000  0.180213  0.000000
  -19.581  -18.260  -11.057   -9.222   -8.375   -7.695   -8.060   -6.975   -5.273   -2.748
   -2.888   -2.672   -2.044
            0.000000  0.183551  0.000000
  -19.569  -18.257  -11.044   -9.248   -8.397   -7.710   -8.050   -6.978   -5.289   -2.752
   -2.890   -2.665   -2.025
            0.000000  0.186888  0.000000
  -19.558  -18.253  -11.031   -9.273   -8.419   -7.724   -8.040   -6.981   -5.306   -2.756
   -2.892   -2.658   -2.006
            0.000000  0.190225  0.000000
  -19.546  -18.250  -11.017   -9.299   -8.442   -7.738   -8.030   -6.984   -5.323   -2.759
   -2.894   -2.651   -1.987
            0.000000  0.193563  0.000000
  -19.534  -18.246  -11.004   -9.325   -8.464   -7.752   -8.020   -6.988   -5.340   -2.763
   -2.895   -2.643   -1.968
            0.000000  0.196900  0.000000
  -19.522  -18.243  -10.990   -9.351   -8.486   -7.767   -8.010   -6.992   -5.357   -2.767
   -2.896   -2.635   -1.948
            0.000000  0.200237  0.000000
  -19.510  -18.239  -10.977   -9.377   -8.508   -7.781   -8.000   -6.996   -5.375   -2.770
   -2.897   -2.626   -1.929
            0.000000  0.203574  0.000000
  -19.497  -18.235  -10.963   -9.402   -8.530   -7.796   -7.990   -7.000   -5.393   -2.774
   -2.898   -2.617   -1.909
            0.000000  0.206912  0.000000
  -19.485  -18.232  -10.949   -9.428   -8.553   -7.810   -7.979   -7.004   -5.411   -2.777
   -2.898   -2.608   -1.890
            0.000000  0.210249  0.000000
  -19.472  -18.228  -10.936   -9.453   -8.575   -7.825   -7.969   -7.009   -5.429   -2.780
   -2.897   -2.598   -1.871
            0.000000  0.213586  0.000000
  -19.459  -18.224  -10.922   -9.479   -8.598   -7.839   -7.958   -7.014   -5.447   -2.783
   -2.897   -2.588   -1.851
            0.000000  0.216924  0.000000
  -19.446  -18.220  -10.908   -9.504   -8.620   -7.854   -7.948   -7.019   -5.466   -2.786
   -2.896   -2.578   -1.832
            0.000000  0.220261  0.000000
  -19.433  -18.216  -10.895   -9.529   -8.643   -7.868   -7.937   -7.024   -5.485   -2.788
   -2.895   -2.567   -1.812
            0.000000  0.223598  0.000000
  -19.420  -18.212  -10.881   -9.554   -8.665   -7.883   -7.927   -7.029   -5.503   -2.791
   -2.893   -2.556   -1.793
            0.000000  0.226935  0.000000
  -19.407  -18.208  -10.867   -9.579   -8.688   -7.897   -7.916   -7.034   -5.522   -2.793
   -2.891   -2.545   -1.773
            0.000000  0.230273  0.000000
  -19.393  -18.204  -10.854   -9.604   -8.710   -7.912   -7.905   -7.040   -5.541   -2.796
   -2.889   -2.533   -1.754
            0.000000  0.233610  0.000000
  -19.380  -18.200  -10.841   -9.628   -8.733   -7.926   -7.895   -7.045   -5.560   -2.798
   -2.886   -2.521   -1.735
            0.000000  0.236947  0.000000
  -19.366  -18.196  -10.828   -9.652   -8.755   -7.941   -7.884   -7.051   -5.580   -2.800
   -2.883   -2.509   -1.715
            0.000000  0.240285  0.000000
  -19.352  -18.192  -10.815   -9.676   -8.778   -7.955   -7.873   -7.057   -5.599   -2.802
   -2.880   -2.497   -1.696
            0.000000  0.243622  0.000000
  -19.338  -18.188  -10.802   -9.700   -8.800   -7.970   -7.862   -7.063   -5.618   -2.803
   -2.877   -2.484   -1.677
            0.000000  0.246959  0.000000
  -19.324  -18.184  -10.789   -9.723   -8.823   -7.984   -7.851   -7.069   -5.637   -2.805
   -2.873   -2.471   -1.658
            0.000000  0.250296  0.000000
  -19.310  -18.179  -10.777   -9.746   -8.845   -7.998   -7.840   -7.075   -5.657   -2.806
   -2.869   -2.458   -1.639
            0.000000  0.253634  0.000000
  -19.296  -18.175  -10.765   -9.768   -8.868   -8.013   -7.829   -7.081   -5.676   -2.807
   -2.864   -2.445   -1.620
            0.000000  0.256971  0.000000
  -19.282  -18.171  -10.754   -9.790   -8.890   -8.027   -7.818   -7.088   -5.695   -2.808
   -2.859   -2.431   -1.601
            0.000000  0.260308  0.000000
  -19.267  -18.167  -10.743   -9.811   -8.913   -8.041   -7.807   -7.094   -5.714   -2.809
   -2.854   -2.417   -1.583
            0.000000  0.263645  0.000000
  -19.253  -18.162  -10.732   -9.832   -8.935   -8.055   -7.797   -7.100   -5.733   -2.809
   -2.849   -2.403   -1.564
            0.000000  0.266983  0.000000
  -19.238  -18.158  -10.722   -9.852   -8.958   -8.069   -7.786   -7.107   -5.752   -2.810
   -2.843   -2.389   -1.546
            0.000000  0.270320  0.000000
  -19.223  -18.154  -10.713   -9.871   -8.980   -8.083   -7.775   -7.113   -5.771   -2.810
   -2.837   -2.375   -1.527
            0.000000  0.273657  0.000000
  -19.209  -18.149  -10.704   -9.890   -9.002   -8.097   -7.764   -7.120   -5.790   -2.810
   -2.831   -2.360   -1.509
            0.000000  0.276995  0.000000
  -19.194  -18.145  -10.697   -9.908   -9.025   -8.111   -7.753   -7.126   -5.809   -2.809
   -2.825   -2.345   -1.491
            0.000000  0.280332  0.000000
  -19.179  -18.140  -10.689   -9.924   -9.047   -8.125   -7.742   -7.133   -5.827   -2.809
   -2.818   -2.330   -1.473
            0.000000  0.283669  0.000000
  -19.164  -18.136  -10.683   -9.940   -9.069   -8.139   -7.731   -7.139   -5.846   -2.808
   -2.811   -2.316   -1.455
            0.000000  0.287006  0.000000
  -19.149  -18.132  -10.678   -9.955   -9.091   -8.153   -7.720   -7.146   -5.864   -2.807
   -2.804   -2.300   -1.438
            0.000000  0.290344  0.000000
  -19.134  -18.127  -10.674   -9.969   -9.113   -8.166   -7.709   -7.152   -5.882   -2.806
   -2.796   -2.285   -1.420
            0.000000  0.293681  0.000000
  -19.119  -18.123  -10.671   -9.981   -9.135   -8.180   -7.699   -7.159   -5.900   -2.805
   -2.788   -2.270   -1.403
            0.000000  0.297018  0.000000
  -19.104  -18.118  -10.670   -9.992   -9.157   -8.193   -7.688   -7.165   -5.917   -2.804
   -2.780   -2.255   -1.386
            0.000000  0.300356  0.000000
  -19.089  -18.114  -10.670  -10.002   -9.179   -8.207   -7.677   -7.172   -5.935   -2.802
   -2.772   -2.239   -1.369
            0.000000  0.303693  0.000000
  -19.074  -18.109  -10.671  -10.010   -9.201   -8.220   -7.666   -7.178   -5.952   -2.800
   -2.764   -2.224   -1.352
            0.000000  0.307030  0.000000
  -19.059  -18.105  -10.673  -10.017   -9.223   -8.233   -7.656   -7.185   -5.968   -2.798
   -2.755   -2.208   -1.336
            0.000000  0.310367  0.000000
  -19.043  -18.100  -10.677  -10.023   -9.244   -8.246   -7.645   -7.191   -5.985   -2.795
   -2.746   -2.193   -1.319
            0.000000  0.313705  0.000000
  -19.028  -18.096  -10.682  -10.027   -9.266   -8.259   -7.635   -7.197   -6.001   -2.793
   -2.737   -2.177   -1.303
            0.000000  0.317042  0.000000
  -19.013  -18.091  -10.688  -10.029   -9.287   -8.272   -7.624   -7.204   -6.017   -2.790
   -2.728   -2.162   -1.287
            0.000000  0.320379  0.000000
  -18.997  -18.087  -10.696  -10.031   -9.309   -8.284   -7.614   -7.210   -6.032   -2.787
   -2.719   -2.146   -1.271
            0.000000  0.323717  0.000000
  -18.982  -18.082  -10.705  -10.031   -9.330   -8.297   -7.603   -7.216   -6.047   -2.784
   -2.710   -2.130   -1.255
            0.000000  0.327054  0.000000
  -18.967  -18.078  -10.715  -10.030   -9.351   -8.310   -7.593   -7.222   -6.062   -2.780
   -2.700   -2.115   -1.240
            0.000000  0.330391  0.000000
  -18.951  -18.073  -10.727  -10.027   -9.372   -8.322   -7.583   -7.228   -6.076   -2.776
   -2.690   -2.099   -1.224
            0.000000  0.333728  0.000000
  -18.936  -18.069  -10.739  -10.024   -9.393   -8.334   -7.573   -7.234   -6.090   -2.773
   -2.680   -2.084   -1.209
            0.000000  0.337066  0.000000
  -18.921  -18.064  -10.752  -10.020   -9.413   -8.346   -7.563   -7.240   -6.103   -2.768
   -2.670   -2.068   -1.194
            0.000000  0.340403  0.000000
  -18.906  -18.060  -10.766  -10.015   -9.434   -8.358   -7.553   -7.246   -6.116   -2.764
   -2.660   -2.053   -1.180
            0.000000  0.343740  0.000000
  -18.890  -18.055  -10.780  -10.009   -9.454   -8.370   -7.543   -7.252   -6.129   -2.759
   -2.650   -2.038   -1.165
            0.000000  0.347078  0.000000
  -18.875  -18.051  -10.796  -10.002   -9.474   -8.382   -7.533   -7.258   -6.141   -2.754
   -2.640   -2.022   -1.151
            0.000000  0.350415  0.000000
  -18.860  -18.047  -10.811   -9.995   -9.495   -8.394   -7.523   -7.263   -6.153   -2.749
   -2.630   -2.007   -1.137
            0.000000  0.353752  0.000000
  -18.845  -18.042  -10.828   -9.988   -9.515   -8.405   -7.514   -7.269   -6.164   -2.744
   -2.619   -1.992   -1.123
            0.000000  0.357089  0.000000
  -18.830  -18.038  -10.844   -9.980   -9.534   -8.417   -7.504   -7.274   -6.175   -2.739
   -2.609   -1.977   -1.109
            0.000000  0.360427  0.000000
  -18.815  -18.033  -10.861   -9.972   -9.554   -8.428   -7.495   -7.280   -6.185   -2.733
   -2.598   -1.963   -1.096
            0.000000  0.363764  0.000000
  -18.799  -18.029  -10.879   -9.963   -9.573   -8.439   -7.485   -7.285   -6.195   -2.727
   -2.587   -1.948   -1.083
            0.000000  0.367101  0.000000
  -18.785  -18.025  -10.896   -9.955   -9.593   -8.450   -7.476   -7.290   -6.205   -2.721
   -2.577   -1.933   -1.070
            0.000000  0.370439  0.000000
  -18.770  -18.020  -10.914   -9.946   -9.612   -8.461   -7.467   -7.296   -6.213   -2.714
   -2.566   -1.919   -1.057
            0.000000  0.373776  0.000000
  -18.755  -18.016  -10.932   -9.937   -9.630   -8.471   -7.458   -7.301   -6.222   -2.708
   -2.555   -1.905   -1.045
            0.000000  0.377113  0.000000
  -18.740  -18.012  -10.949   -9.928   -9.649   -8.482   -7.450   -7.306   -6.230   -2.701
   -2.544   -1.891   -1.032
            0.000000  0.380450  0.000000
  -18.725  -18.008  -10.967   -9.919   -9.668   -8.492   -7.441   -7.311   -6.237   -2.694
   -2.533   -1.877   -1.020
            0.000000  0.383788  0.000000
  -18.711  -18.003  -10.985   -9.910   -9.686   -8.503   -7.433   -7.315   -6.244   -2.687
   -2.522   -1.863   -1.008
            0.000000  0.387125  0.000000
  -18.696  -17.999  -11.003   -9.901   -9.704   -8.513   -7.424   -7.320   -6.250   -2.680
   -2.511   -1.850   -0.997
            0.000000  0.390462  0.000000
  -18.682  -17.995  -11.021   -9.892   -9.722   -8.523   -7.416   -7.325   -6.256   -2.673
   -2.500   -1.837   -0.985
            0.000000  0.393800  0.000000
  -18.668  -17.991  -11.039   -9.883   -9.739   -8.532   -7.408   -7.329   -6.262   -2.665
   -2.489   -1.824   -0.974
            0.000000  0.397137  0.000000
  -18.654  -17.987  -11.057   -9.874   -9.757   -8.542   -7.400   -7.334   -6.267   -2.658
   -2.478   -1.811   -0.963
            0.000000  0.400474  0.000000
  -18.639  -17.983  -11.074   -9.865   -9.774   -8.552   -7.392   -7.338   -6.271   -2.650
   -2.467   -1.798   -0.952
            0.000000  0.403811  0.000000
  -18.626  -17.979  -11.092   -9.857   -9.791   -8.561   -7.384   -7.343   -6.275   -2.642
   -2.456   -1.786   -0.942
            0.000000  0.407149  0.000000
  -18.612  -17.975  -11.109   -9.849   -9.808   -8.570   -7.377   -7.347   -6.278   -2.634
   -2.444   -1.774   -0.932
            0.000000  0.410486  0.000000
  -18.598  -17.971  -11.126   -9.841   -9.824   -8.579   -7.369   -7.351   -6.281   -2.626
   -2.433   -1.762   -0.922
            0.000000  0.413823  0.000000
  -18.585  -17.967  -11.144   -9.833   -9.840   -8.588   -7.362   -7.355   -6.284   -2.618
   -2.421   -1.750   -0.912
            0.000000  0.417161  0.000000
  -18.571  -17.963  -11.160   -9.825   -9.856   -8.597   -7.355   -7.359   -6.286   -2.609
   -2.410   -1.739   -0.902
            0.000000  0.420498  0.000000
  -18.558  -17.960  -11.177   -9.818   -9.872   -8.605   -7.348   -7.363   -6.288   -2.601
   -2.398   -1.728   -0.893
            0.000000  0.423835  0.000000
  -18.545  -17.956  -11.194   -9.811   -9.887   -8.614   -7.341   -7.366   -6.289   -2.593
   -2.386   -1.717   -0.884
            0.000000  0.427172  0.000000
  -18.532  -17.952  -11.210   -9.804   -9.903   -8.622   -7.334   -7.370   -6.290   -2.584
   -2.374   -1.706   -0.875
            0.000000  0.430510  0.000000
  -18.519  -17.949  -11.226   -9.797   -9.917   -8.630   -7.328   -7.373   -6.290   -2.576
   -2.363   -1.696   -0.866
            0.000000  0.433847  0.000000
  -18.507  -17.945  -11.242   -9.791   -9.932   -8.638   -7.321   -7.377   -6.290   -2.567
   -2.351   -1.686   -0.857
            0.000000  0.437184  0.000000
  -18.495  -17.942  -11.258   -9.785   -9.946   -8.645   -7.315   -7.380   -6.289   -2.558
   -2.339   -1.676   -0.849
            0.000000  0.440522  0.000000
  -18.482  -17.938  -11.273   -9.779   -9.961   -8.653   -7.309   -7.383   -6.289   -2.550
   -2.327   -1.667   -0.841
            0.000000  0.443859  0.000000
  -18.470  -17.935  -11.289   -9.773   -9.974   -8.660   -7.303   -7.387   -6.288   -2.541
   -2.314   -1.657   -0.833
            0.000000  0.447196  0.000000
  -18.459  -17.931  -11.303   -9.768   -9.988   -8.668   -7.297   -7.390   -6.286   -2.533
   -2.302   -1.648   -0.826
            0.000000  0.450533  0.000000
  -18.447  -17.928  -11.318   -9.763  -10.001   -8.675   -7.291   -7.393   -6.284   -2.524
   -2.290   -1.640   -0.818
            0.000000  0.453871  0.000000
  -18.436  -17.925  -11.333   -9.758  -10.014   -8.681   -7.286   -7.396   -6.282   -2.516
   -2.278   -1.631   -0.811
            0.000000  0.457208  0.000000
  -18.425  -17.922  -11.347   -9.753  -10.027   -8.688   -7.280   -7.398   -6.280   -2.507
   -2.265   -1.623   -0.804
            0.000000  0.460545  0.000000
  -18.414  -17.919  -11.361   -9.749  -10.039   -8.695   -7.275   -7.401   -6.277   -2.499
   -2.253   -1.615   -0.797
            0.000000  0.463883  0.000000
  -18.403  -17.916  -11.374   -9.745  -10.051   -8.701   -7.270   -7.404   -6.274   -2.491
   -2.240   -1.608   -0.791
            0.000000  0.467220  0.000000
  -18.393  -17.913  -11.387   -9.741  -10.063   -8.707   -7.265   -7.406   -6.271   -2.482
   -2.228   -1.600   -0.784
            0.000000  0.470557  0.000000
  -18.383  -17.910  -11.400   -9.737  -10.074   -8.713   -7.260   -7.409   -6.267   -2.474
   -2.215   -1.593   -0.778
            0.000000  0.473894  0.000000
